"filename", "language", "JSON", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "Firebase Rules", "JavaScript", "log", "comment", "blank", "total"
"e:\web_project2\my-yds\src\components\home\CategoryGrid.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, -1, 10
"e:\web_project2\my-yds\src\components\home\ExcelUploadSection.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, -1, -1, 10
"e:\web_project2\my-yds\src\components\home\FaqSection.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"e:\web_project2\my-yds\src\components\home\FeatureSection.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"e:\web_project2\my-yds\src\components\home\ProgressOverview.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"e:\web_project2\my-yds\src\components\layout\Drawer.tsx", "TypeScript JSX", 0, 0, 0, -177, 0, 0, 0, 0, -7, -11, -195
"e:\web_project2\my-yds\src\components\layout\Header.tsx", "TypeScript JSX", 0, 0, 0, -32, 0, 0, 0, 0, 0, -1, -33
"e:\web_project2\my-yds\src\components\ui\Button.tsx", "TypeScript JSX", 0, 0, 0, -74, 0, 0, 0, 0, 0, -8, -82
"e:\web_project2\my-yds\src\components\ui\Card.tsx", "TypeScript JSX", 0, 0, 0, -31, 0, 0, 0, 0, 0, -5, -36
"e:\web_project2\my-yds\src\components\ui\SectionTitle.tsx", "TypeScript JSX", 0, 0, 0, -13, 0, 0, 0, 0, 0, -3, -16
"e:\web_project2\my-yds\src\components\ui\StyledCard.tsx", "TypeScript JSX", 0, 0, 0, -17, 0, 0, 0, 0, 0, -3, -20
"e:\web_project2\my-yds\src\components\ui\Typography.tsx", "TypeScript JSX", 0, 0, 0, -58, 0, 0, 0, 0, 0, -8, -66
"e:\web_project2\my-yds\src\contexts\FlashcardFullscreenContext.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"e:\web_project2\my-yds\src\contexts\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 4, 6, 36
"e:\web_project2\my-yds\src\hooks\useFlashcardState.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\web_project2\my-yds\src\hooks\useTheme.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"e:\web_project2\my-yds\src\lib\adLoader.js", "JavaScript", 0, 0, 0, 0, 0, 0, -29, 0, -8, -8, -45
