"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "XML", "TypeScript JSX", "HTML", "PostCSS", "Batch", "Firebase Rules", "comment", "blank", "total"
"e:\web_project2\my-yds\src\data\quizData.ts", "TypeScript", 0, 0, 0, 2169, 0, 0, 0, 0, 0, 0, 0, 2, 50, 2221
"e:\web_project2\my-yds\src\data\vocabulary.ts", "TypeScript", 0, 0, 0, 339, 0, 0, 0, 0, 0, 0, 0, 1, 12, 352
"e:\web_project2\my-yds\src\firebase\auth.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 9, 14, 89
"e:\web_project2\my-yds\src\firebase\firebase.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 11, 11, 52
"e:\web_project2\my-yds\src\firebase\firestore.ts", "TypeScript", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 10, 22, 153
"e:\web_project2\my-yds\src\firebase\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5
"e:\web_project2\my-yds\src\firebase\types.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 4, 36
"e:\web_project2\my-yds\src\hooks\useFlashcardState.ts", "TypeScript", 0, 0, 0, 435, 0, 0, 0, 0, 0, 0, 0, 22, 75, 532
"e:\web_project2\my-yds\src\hooks\useTheme.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 2, 12
"e:\web_project2\my-yds\src\lib\adsense.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 8, 40
"e:\web_project2\my-yds\src\lib\firebase.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
"e:\web_project2\my-yds\src\lib\firebase\config.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 8, 38
"e:\web_project2\my-yds\src\lib\firebase\dataAccess.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 24, 13, 103
"e:\web_project2\my-yds\src\lib\firebase\errorHandler.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 14, 8, 62
"e:\web_project2\my-yds\src\lib\firebase\errors.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 7, 50
"e:\web_project2\my-yds\src\lib\firebase\flashcardStorage.ts", "TypeScript", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 17, 38, 201
"e:\web_project2\my-yds\src\lib\firebase\safeMode.ts", "TypeScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 22, 14, 132
"e:\web_project2\my-yds\src\lib\firebase\spacedRepetition.ts", "TypeScript", 0, 0, 0, 601, 0, 0, 0, 0, 0, 0, 0, 177, 106, 884
"e:\web_project2\my-yds\src\lib\firebase\utils.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 29, 13, 99
"e:\web_project2\my-yds\src\lib\spacedRepetition.ts", "TypeScript", 0, 0, 0, 273, 0, 0, 0, 0, 0, 0, 0, 129, 53, 455
"e:\web_project2\my-yds\src\lib\utils\categoryUtils.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 1, 11
"e:\web_project2\my-yds\src\lib\utils\excelParser.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 16, 14, 82
"e:\web_project2\my-yds\src\services\wordService.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 22
"e:\web_project2\my-yds\src\styles\design-tokens.ts", "TypeScript", 0, 0, 0, 326, 0, 0, 0, 0, 0, 0, 0, 23, 24, 373
"e:\web_project2\my-yds\src\styles\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 329, 0, 0, 23, 61, 413
"e:\web_project2\my-yds\src\types\data.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
